Type	Name	Rows
LINK	PRES	
LINK	Доп_угли_1135	
LINK	Доп_угли_1135(до_2005)	
LINK	Доп_угли_1135_новый	
LINK	Доп_угли_1135_новый(тест)	
LINK	ОРГРЭС98	
LINK	перетоки_табл	
LINK	РЭУ91(режимы)	
LINK	РЭУ95(режимы)	
LINK	Списки_агрегатов_25-30	
LINK	Станции(Схема)_22-28	
LINK	Станции_ЕНЭС	
LINK	Станции1135_новый	
LINK	станции91(режимы)	
LINK	станции95(режимы)	
LINK	Удельные(Схема)	
TABLE	GTD	224
TABLE	Knt	720
TABLE	KOEFF	872
TABLE	KOEFF_до 2019 года	710
TABLE	main	0
TABLE	ManufG	39
TABLE	ManufK	19
TABLE	ManufP	10
TABLE	sumvar	4
TABLE	work	259
TABLE	АПБ_2009	379
TABLE	АПБ_E_2009	448
TABLE	АПБ_EURT_2009	456
TABLE	АПБ_EWTP_2009	448
TABLE	АПБ_буфер	462
TABLE	АПБ-ОТЭТ	379
TABLE	вед_сост_стан	72
TABLE	Ведомства-для-составных-станций	2
TABLE	Волга2021	90
TABLE	Восстановление ПГ	626
TABLE	Восток2021	49
TABLE	Выбросы ЗВ	5639
TABLE	Выбросы ЗВ_копия	4951
TABLE	Выбросы ПГ	5639
TABLE	Выбросы ПГ_копия	3739
TABLE	Выбросы ПГ_копия2	4051
TABLE	Газ-Уголь(список)	118
TABLE	Генераторы	1571
TABLE	Годы_переходник	20
TABLE	Города	278
TABLE	Дефициты	18
TABLE	Для_котлов	28
TABLE	Доп_угли(95-97)	229
TABLE	Доп_угли(архив)	10559
TABLE	Доп_угли(архив)_крпия апрель 2024	5444
TABLE	Доп_угли(макет)	0
TABLE	Доп_угли1990	57
TABLE	Доп_угли2000	202
TABLE	Доп_угли2001	208
TABLE	Доп_угли2002	219
TABLE	Доп_угли2003	227
TABLE	Доп_угли2004	101
TABLE	Доп_угли2005	119
TABLE	Доп_угли2006	232
TABLE	Доп_угли2007	248
TABLE	Доп_угли2008	127
TABLE	Доп_угли2009	139
TABLE	Доп_угли2010	864
TABLE	Доп_угли2011	885
TABLE	Доп_угли2012	888
TABLE	Доп_угли2013	882
TABLE	Доп_угли2014	253
TABLE	Доп_угли2015	866
TABLE	Доп_угли2016	899
TABLE	Доп_угли2017	906
TABLE	Доп_угли2018	866
TABLE	Доп_угли2019	789
TABLE	Доп_угли2020	808
TABLE	Доп_угли2021	834
TABLE	Доп_угли2022	855
TABLE	Доп_угли2023	862
TABLE	Доп_угли2024	871
TABLE	Затраты_2018	7980
TABLE	Затраты_2018_2	1120
TABLE	Затраты_2019	6771
TABLE	Затраты_2020	6771
TABLE	Затраты_2021	6214
TABLE	Затраты_2022	6712
TABLE	Затраты_2023	6712
TABLE	Затраты_топливо_2021	373
TABLE	И1_Поясные_расстояния	127
TABLE	имена_БЕ	11
TABLE	имена_ГК	120
TABLE	имена_ГК_старый	143
TABLE	Имена_департаментов	9
TABLE	Имена_затраты	27
TABLE	Имена_областей	130
TABLE	Имена_областей_до изм	127
TABLE	Имена_ОЭС	21
TABLE	Имена_станций	2244
TABLE	Имена_станций_broken	2176
TABLE	Имена_станций_до форэм	2177
TABLE	Имена_станций_сломан	2184
TABLE	Имена_станций_старый	2197
TABLE	Имена_эк_районов	13
TABLE	Имена-итогов	8
TABLE	Имена-оборуд	21
TABLE	Классификтор_топлива	91
TABLE	Конфигурации	48
TABLE	Копия "Станции2011"	869
TABLE	Котлы	3208
TABLE	Котлы-утилизаторы	140
TABLE	Кп3т2	21
TABLE	Москва и МО	179
TABLE	Натура99	12287
TABLE	Натура99_старый	7130
TABLE	Новые станции	49
TABLE	Нормативные удельные	2
TABLE	оборудование(турб-котлы-генер)	6595
TABLE	ОПЭС-ОТЭТ	1383
TABLE	Ошибки вставки	2
TABLE	Ошибки сохранения при автозамене имен	81
TABLE	Паровые турбины	158
TABLE	Перев-коэфф	12
TABLE	Перевод-уголь-мазут	899
TABLE	Поставки угля	221
TABLE	Потребители_тепла	196
TABLE	Приложения к приказу 1340	1583
TABLE	Примечания к отчету	8
TABLE	ПСУ модерн	5
TABLE	ПСУ новые	4
TABLE	Рабочая_ОРГРЭС	0
TABLE	Рабочий2021	907
TABLE	Разбивка2000	191
TABLE	Разбивка2001	194
TABLE	Разбивка2002	145
TABLE	Разбивка2003	200
TABLE	разбивка2004	204
TABLE	Разбивка2005	206
TABLE	Разбивка2006	212
TABLE	Разбивка2007	216
TABLE	Разбивка2008	216
TABLE	Разбивка-90	205
TABLE	Разбивка-91	200
TABLE	Разбивка-99	185
TABLE	Расстояния1	41
TABLE	Расстояния2	101
TABLE	Расстояния3	53
TABLE	Режимы2008	3588
TABLE	Северо_Запад2021	107
TABLE	Сети	160
TABLE	Сети_2020	161
TABLE	Сечения	6
TABLE	Сечения_ограничения	1
TABLE	Сибирь_2017	142
TABLE	Сибирь2021	137
TABLE	Списки_агрегатов	7383
TABLE	Список_для_ТЭПа	101
TABLE	Список_запросов	6
TABLE	Список_макетов	13
TABLE	Список_объектов	18
TABLE	Список_полей	65
TABLE	Список_условий	98
TABLE	Список-вариантов	25
TABLE	Список-для-ТЭПа1	20
TABLE	Станции(архив)	27147
TABLE	Станции(архив)_копия	24188
TABLE	Станции(макет)	0
TABLE	Станции(Схема)_17-27	10199
TABLE	Станции(Схема)_25-29	11258
TABLE	Станции(Схема)_ГС	25058
TABLE	Станции_2018	686
TABLE	Станции_из_оборудования	731
TABLE	Станции1990	621
TABLE	Станции2001	678
TABLE	Станции2002	691
TABLE	Станции2003	699
TABLE	Станции2004	715
TABLE	Станции2005	732
TABLE	Станции2006	767
TABLE	Станции2007	787
TABLE	Станции2008	822
TABLE	Станции2009	833
TABLE	Станции2010	850
TABLE	Станции2010 до изменений	837
TABLE	Станции2010-1	853
TABLE	Станции2011	869
TABLE	Станции2012	870
TABLE	Станции2013	882
TABLE	Станции2013(до распределения по частям)	891
TABLE	Станции2014	887
TABLE	Станции2015	865
TABLE	Станции2016	896
TABLE	Станции2017	905
TABLE	Станции2017_до изм углей	888
TABLE	Станции2017_норильск	3
TABLE	Станции2018	936
TABLE	Станции2019	953
TABLE	Станции2020	961
TABLE	Станции2020_Павловская	89
TABLE	Станции2021	960
TABLE	Станции2022	969
TABLE	Станции2023	974
TABLE	Станции2024	975
TABLE	Станции-на рынке	36
TABLE	Станция-конфигурация	44
TABLE	Стоимость(архив)	1
TABLE	Стоимость(макет)	0
TABLE	Стоимость1990	0
TABLE	Стоимость2002	0
TABLE	Стоимость2003	0
TABLE	Стоимость2004	0
TABLE	Стоимость2005	0
TABLE	Стоимость2006	0
TABLE	Стоимость2007	0
TABLE	Стоимость2008	0
TABLE	Стоимость2009	0
TABLE	Стоимость2010	1
TABLE	Стоимость2011	0
TABLE	Стоимость2012	0
TABLE	Стоимость2013	0
TABLE	Стоимость2014	0
TABLE	Стоимость2015	0
TABLE	Стоимость2016	685
TABLE	Стоимость2017	686
TABLE	Стоимость2018	688
TABLE	Стоимость2019	696
TABLE	Стоимость2020	701
TABLE	Стоимость2021	706
TABLE	Стоимость2022	684
TABLE	Стоимость2023	691
TABLE	Стоимость2024	694
TABLE	Структура_топлива2014	851
TABLE	Структура_топлива2015	866
TABLE	Структура_топлива2016	894
TABLE	Структура_топлива2017	890
TABLE	Структура_топлива2018	905
TABLE	Таблица1	0
TABLE	Текущий_вариант	1
TABLE	Тепловые_мощности	275
TABLE	Теплопотребление_АО	136
TABLE	Теплопотребление_города	6
TABLE	Теплопотребление_станции	4
TABLE	Типовые_удельные_расходы	62
TABLE	Типы_оборудования	27
TABLE	Типы_турбин	312
TABLE	Турбины	3549
TABLE	Удельные нового и  модерн оборуд	8
TABLE	Удельные(архив)	9070
TABLE	Удельные_анализ	9762
TABLE	Удельные1999	383
TABLE	Удельные2000	394
TABLE	Удельные2001	541
TABLE	Удельные2002	554
TABLE	Удельные2003	550
TABLE	Удельные2004	560
TABLE	Удельные2005	571
TABLE	Удельные2006	594
TABLE	Удельные2007	600
TABLE	Удельные2008	611
TABLE	Удельные2009	612
TABLE	Удельные2010	659
TABLE	Удельные2011	660
TABLE	Удельные2012	686
TABLE	Удельные2013	699
TABLE	Удельные2014	709
TABLE	Удельные2014old	709
TABLE	Удельные2015	709
TABLE	Удельные2016	726
TABLE	Удельные2017	721
TABLE	Удельные2018	756
TABLE	Удельные2019	767
TABLE	Удельные2020	770
TABLE	Удельные2021	769
TABLE	Удельные2022	769
TABLE	Удельные2023	775
TABLE	Удельные2024	777
TABLE	Урал2021	225
TABLE	Федеральные_округа	8
TABLE	Фиксированное_тепло	14
TABLE	Филиалы ГК	424
TABLE	Филиалы ГК_старый	129
TABLE	Формулы_топлива_отчёт	7424
TABLE	Формулы_топлива_отчёт_до замены 2018-2021	6311
TABLE	Формулы_топлива2020	717
TABLE	Цена(архив)	4186
TABLE	Цена_энергии_2018	280
TABLE	Цена_энергии_2019	387
TABLE	Цена_энергии_2020	389
TABLE	Цена_энергии_2021	373
TABLE	Цена2016	680
TABLE	Цена2017	689
TABLE	Цена2018	694
TABLE	Цена2019	706
TABLE	Цена2020	709
TABLE	Цена2021	711
TABLE	Цена2022	713
TABLE	Цена2023	727
TABLE	Цена2024	732
